Name,Size,UB,A multi-action deep reinforcement learning framework for flexible Job-shop scheduling problem,Flexible Job-Shop Scheduling via Graph Neural Network and Deep Reinforcement Learning,Flexible Job Shop Scheduling via Dual Attention Network-Based Reinforcement Learning,Diverse policy generation for the flexible job-shop scheduling problem via deep reinforcement learning with a novel graph representation,Flexible job shop scheduling via deep reinforcement learning with meta-path-based heterogeneous graph neural network
6,20 × 20,128,143,179,148,141,
7,20 × 20,129,142,176,152,138,
8,20 × 20,126,139,185,148,142,
9,20 × 20,125,144,180,147,142,
10,20 × 20,130,146,190,155,142,
11,50 × 20,257,250,337,276,251,278
12,50 × 20,251,247,336,267,250,247
13,50 × 20,248,249,343,271,265,261
14,50 × 20,251,257,342,275,258,262
15,50 × 20,251,255,333,271,258,260
16,100 × 20,486,437,598,460,444,451
17,100 × 20,475,430,597,449,439,438
18,100 × 20,478,428,600,466,440,442
19,100 × 20,488,423,594,468,436,447
20,100 × 20,484,427,593,454,426,444
26,20 × 40,113,129,173,132,126,
27,20 × 40,123,140,180,137,140,
28,20 × 40,114,133,182,132,121,
29,20 × 40,117,138,177,131,134,
30,20 × 40,120,142,171,136,140,
31,50 × 40,236,271,326,253,242,264
32,50 × 40,235,267,326,254,241,255
33,50 × 40,234,261,314,248,247,253
34,50 × 40,232,250,338,250,239,262
35,50 × 40,223,249,326,238,229,252
36,100 × 40,432,442,575,429,414,446
37,100 × 40,449,444,567,428,423,435
38,100 × 40,445,454,570,427,422,434
39,100 × 40,447,471,574,432,412,454
40,100 × 40,453,460,567,450,445,456
46,20 × 60,114,145,172,130,131,
47,20 × 60,117,144,177,131,127,
48,20 × 60,125,141,182,143,142,
49,20 × 60,113,134,171,131,126,
50,20 × 60,123,147,187,142,141,
51,50 × 60,226,253,328,238,240,245
52,50 × 60,226,242,323,236,233,240
53,50 × 60,222,256,323,236,231,244
54,50 × 60,237,268,343,251,243,258
55,50 × 60,230,262,327,250,237,248
56,100 × 60,434,439,569,425,411,442
57,100 × 60,432,442,565,427,412,433
58,100 × 60,440,442,592,428,424,439
59,100 × 60,433,426,567,426,424,441
60,100 × 60,443,458,584,434,419,444
MEAN,,271.00 ,279.27 ,363.53 ,278.04 ,268.62 ,349.17 
