Instances,UB,Flexible Job-Shop Scheduling via Graph Neural Network and Deep Reinforcement Learning,A multi-action deep reinforcement learning framework for flexible Job-shop scheduling problem,Solving flexible job shop scheduling problems via deep reinforcement learning,Multi-agent reinforcement learning based on graph convolutional network for flexible job shop scheduling ,Flexible Job Shop Scheduling via Dual Attention Network-Based Reinforcement Learning,A deep reinforcement learning method based on a multiexpert graph neural network for flexible job shop scheduling ,Flexible Job Shop Scheduling Problem using graph neural networks and reinforcement learning,Learning to Dispatch for Flexible Job Shop Scheduling Based on Deep Reinforcement Learning via Graph Gated Channel Transformation,A Deep Reinforcement Learning Method Based on a Transformer Model for the Flexible Job Shop Scheduling Problem,Residual Scheduling: A New Reinforcement Learning Approach to Solving Job Shop Scheduling Problem,Solving Flexible Job-Shop Scheduling Problem with Heterogeneous Graph Neural Network Based on Relation and Deep Reinforcement Learning,Dual Dynamic Attention Network for Flexible Job Scheduling with Reinforcement Learning,Optimizing the flexible job shop scheduling problem via deep reinforcement learning with mean multichannel graph attention,Smart scheduling of hanging workshop via digital twin and deep reinforcement learning,A novel collaborative agent reinforcement learning framework based on an attention mechanism and disjunctive graph embedding for flexible job shop scheduling problem
la01,571,603,690,663,570,617,,,,581,588,680,,,,
la02,530,611,648,666,530,615,,,,547,550,598,,,,
la03,478,520,528,525,477,513,,,,481,487,528,,,,
la04,502,586,531,573,502,551,,,,511,517,541,,,,
la05,457,489,516,500,457,511,,,,465,466,497,,,,
la06,799,815,850,856,799,822,,,,809,804,881,,,,
la07,750,774,786,825,749,790,,,,759,761,787,,,,
la08,765,837,803,820,765,829,,,,772,773,819,,,,
la09,853,898,866,885,853,883,,,,865,864,929,,,,
la10,804,828,885,870,804,870,,,,812,816,847,,,,
la11,1071,1089,1105,1131,1071,1133,,,,1081,1078,1117,,,,
la12,936,949,988,977,936,965,,,,943,941,993,,,,
la13,1038,1091,1117,1051,1038,1135,,,,1045,1048,1093,,,,
la14,1070,1138,1152,1110,1070,1176,,,,1090,1082,1152,,,,
la15,1090,1197,1258,1236,1092,1224,,,,1108,1098,1236,,,,
la16,717,825,851,821,717,829,,,,761,761,812,,,,
la17,646,758,892,720,646,846,,,,676,693,818,,,,
la18,666,730,744,766,666,759,,,,703,716,776,,,,
la19,700,973,952,812,685,874,,,,772,772,932,,,,
la20,756,891,964,878,756,858,,,,811,815,950,,,,
la21,835,993,1073,967,845,991,,,,893,909,1015,,,,
la22,760,918,1001,893,749,923,,,,814,843,1009,,,,
la23,842,921,1066,1010,837,947,,,,884,894,1003,,,,
la24,808,948,966,928,800,947,,,,862,877,993,,,,
la25,791,943,964,939,783,977,,,,846,875,945,,,,
la26,1061,1173,1237,1175,1058,1154,,,,1092,1108,1190,,,,
la27,1091,1207,1276,1214,1090,1211,,,,1139,1152,1221,,,,
la28,1080,1202,1320,1175,1076,1214,,,,1119,1122,1238,,,,
la29,998,1082,1219,1111,997,1082,,,,1029,1043,1210,,,,
la30,1078,1193,1371,1275,1074,1280,,,,1150,1143,1248,,,,
la31,1521,1593,1624,1636,1521,1573,,,,1581,1551,1622,,,,
la32,1659,1748,1849,1765,1658,1720,,,,1725,1692,1801,,,,
la33,1499,1558,1663,1542,1497,1547,,,,1546,1516,1599,,,,
la34,1536,1570,1599,1686,1535,1579,,,,1570,1557,1636,,,,
la35,1550,1636,1706,1706,1551,1666,,,,1603,1584,1685,,,,
la36,1030,1204,1296,1229,1023,1162,,,,1125,1136,1189,,,,
la37,1077,1219,1285,1294,1068,1229,,,,1157,1169,1295,,,,
la38,962,1127,1188,1107,958,1230,,,,1044,1074,1159,,,,
la39,1024,1240,1229,1228,1019,1207,,,,1111,1116,1239,,,,
la40,970,1156,1200,1108,968,1168,,,,1042,1057,1168,,,,
mean,934.275,1030.825,1081.45,1041.825,932.25,1040.175,988.28,977.9,987.38,973.1,976.2,1061.275,980.675,987.6,1039.1,1037
