Instances,UB,Flexible Job-Shop Scheduling via Graph Neural Network and Deep Reinforcement Learning,A multi-action deep reinforcement learning framework for flexible Job-shop scheduling problem,Solving flexible job shop scheduling problems via deep reinforcement learning,Multi-agent reinforcement learning based on graph convolutional network for flexible job shop scheduling ,Flexible Job Shop Scheduling via Dual Attention Network-Based Reinforcement Learning,A deep reinforcement learning method based on a multiexpert graph neural network for flexible job shop scheduling ,Flexible Job Shop Scheduling Problem using graph neural networks and reinforcement learning,Learning to Dispatch for Flexible Job Shop Scheduling Based on Deep Reinforcement Learning via Graph Gated Channel Transformation,A Deep Reinforcement Learning Method Based on a Transformer Model for the Flexible Job Shop Scheduling Problem,Residual Scheduling: A New Reinforcement Learning Approach to Solving Job Shop Scheduling Problem,Solving Flexible Job-Shop Scheduling Problem with Heterogeneous Graph Neural Network Based on Relation and Deep Reinforcement Learning,Dual Dynamic Attention Network for Flexible Job Scheduling with Reinforcement Learning,Optimizing the flexible job shop scheduling problem via deep reinforcement learning with mean multichannel graph attention,Smart scheduling of hanging workshop via digital twin and deep reinforcement learning
la01,570,609,607,612,570,583,,,,573,576,606,,,
la02,529,582,553,601,530,539,,,,537,535,566,,,
la03,477,517,506,533,477,493,,,,484,482,532,,,
la04,502,554,544,556,502,522,,,,511,506,575,,,
la05,457,493,498,525,457,475,,,,463,467,508,,,
la06,799,859,827,888,799,808,,,,810,804,847,,,
la07,749,785,781,802,749,759,,,,760,754,782,,,
la08,765,805,782,783,765,775,,,,779,771,824,,,
la09,853,862,876,887,853,854,,,,857,855,863,,,
la10,804,839,822,843,804,818,,,,810,811,867,,,
la11,1071,1114,1099,1119,1071,1080,,,,1077,1073,1095,,,
la12,936,967,968,977,936,944,,,,940,941,1025,,,
la13,1038,1076,1068,1082,1038,1045,,,,1045,1043,1082,,,
la14,1070,1099,1110,1088,1070,1086,,,,1075,1074,1098,,,
la15,1089,1104,1123,1110,1089,1098,,,,1098,1093,1146,,,
la16,717,753,719,727,717,723,,,,717,717,771,,,
la17,646,658,646,648,646,646,,,,646,646,678,,,
la18,663,663,663,663,663,663,,,,663,663,663,,,
la19,617,654,624,639,617,620,,,,619,617,656,,,
la20,756,756,756,766,756,756,,,,756,756,824,,,
la21,804,839,855,891,804,851,,,,809,816,880,,,
la22,736,812,782,809,737,765,,,,747,753,791,,,
la23,815,868,849,872,820,826,,,,822,829,862,,,
la24,775,803,831,873,775,805,,,,784,790,877,,,
la25,756,809,830,840,753,815,,,,770,776,822,,,
la26,1054,1073,1111,1100,1053,1069,,,,1062,1062,1097,,,
la27,1084,1133,1135,1131,1085,1104,,,,1095,1100,1123,,,
la28,1070,1100,1118,1106,1070,1090,,,,1079,1084,1117,,,
la29,994,1027,1051,1076,994,1017,,,,1005,1003,1039,,,
la30,1069,1106,1119,1143,1068,1084,,,,1087,1081,1091,,,
la31,1520,1565,1598,1575,1520,1537,,,,1528,1534,1564,,,
la32,1658,1714,1704,1726,1657,1677,,,,1671,1671,1699,,,
la33,1497,1529,1536,1531,1497,1515,,,,1508,1512,1532,,,
la34,1537,1574,1580,1594,1535,1551,,,,1550,1536,1588,,,
la35,1549,1612,1607,1575,1550,1583,,,,1564,1562,1609,,,
la36,948,993,955,973,948,952,,,,948,948,987,,,
la37,986,1069,1003,1024,986,1004,,,,990,986,1024,,,
la38,943,945,943,943,943,943,,,,943,943,943,,,
la39,922,951,940,942,922,942,,,,924,935,941,,,
la40,955,985,955,967,955,955,,,,962,955,955,,,
mean,919.5,956.4,951.85,963.5,919.525,934.3,925.2,924.78,930.53,926.7,926.5,963.725,925.26,931.35,951.05
