Instances,UB,Flexible Job-Shop Scheduling via Graph Neural Network and Deep Reinforcement Learning,A multi-action deep reinforcement learning framework for flexible Job-shop scheduling problem,Solving flexible job shop scheduling problems via deep reinforcement learning,Multi-agent reinforcement learning based on graph convolutional network for flexible job shop scheduling ,Flexible Job Shop Scheduling via Dual Attention Network-Based Reinforcement Learning,A deep reinforcement learning method based on a multiexpert graph neural network for flexible job shop scheduling ,Flexible Job Shop Scheduling Problem using graph neural networks and reinforcement learning,Learning to Dispatch for Flexible Job Shop Scheduling Based on Deep Reinforcement Learning via Graph Gated Channel Transformation,A Deep Reinforcement Learning Method Based on a Transformer Model for the Flexible Job Shop Scheduling Problem,Residual Scheduling: A New Reinforcement Learning Approach to Solving Job Shop Scheduling Problem,Solving Flexible Job-Shop Scheduling Problem with Heterogeneous Graph Neural Network Based on Relation and Deep Reinforcement Learning,Dual Dynamic Attention Network for Flexible Job Scheduling with Reinforcement Learning,Optimizing the flexible job shop scheduling problem via deep reinforcement learning with mean multichannel graph attention,Smart scheduling of hanging workshop via digital twin and deep reinforcement learning
la01,609,688,712,658,609,665,,,,627,621,722,,,
la02,655,761,875,809,655,761,,,,720,710,802,,,
la03,550,657,714,660,550,632,,,,602,573,699,,,
la04,568,678,711,669,568,734,,,,625,604,729,,,
la05,503,530,621,593,503,530,,,,503,503,568,,,
la06,833,952,946,951,833,899,,,,847,833,837,,,
la07,762,969,1010,896,762,840,,,,791,820,974,,,
la08,845,969,932,947,845,889,,,,860,860,880,,,
la09,878,900,964,946,878,912,,,,888,900,931,,,
la10,866,937,1016,886,866,929,,,,866,866,919,,,
la11,1103,1221,1285,1213,1100,1188,,,,1106,1111,1265,,,
la12,960,1001,1143,1065,960,984,,,,968,979,1064,,,
la13,1053,1142,1181,1164,1053,1150,,,,1073,1061,1149,,,
la14,1123,1231,1177,1234,1123,1240,,,,1132,1147,1179,,,
la15,1111,1356,1362,1297,1111,1263,,,,1158,1291,1362,,,
la16,892,1038,1046,1051,892,1012,,,,971,951,1088,,,
la17,707,813,949,773,707,833,,,,782,780,914,,,
la18,842,978,970,934,842,913,,,,868,899,1011,,,
la19,796,1011,1001,972,796,964,,,,872,909,991,,,
la20,857,989,1102,1004,857,1046,,,,924,946,1057,,,
la21,1017,1223,1262,1256,1004,1200,,,,1128,1118,1335,,,
la22,882,986,1242,1070,875,1049,,,,935,949,1148,,,
la23,950,1074,1184,1137,950,1055,,,,1032,1052,1116,,,
la24,909,1056,1204,1086,898,1049,,,,1005,996,1088,,,
la25,941,1166,1224,1102,925,1070,,,,1036,1016,1107,,,
la26,1125,1272,1478,1348,1116,1395,,,,1193,1240,1367,,,
la27,1186,1493,1514,1423,1183,1390,,,,1254,1302,1523,,,
la28,1149,1456,1375,1344,1138,1333,,,,1278,1307,1392,,,
la29,1118,1348,1345,1359,1112,1378,,,,1229,1254,1391,,,
la30,1204,1470,1471,1410,1212,1417,,,,1323,1329,1489,,,
la31,1539,1766,1936,1755,1532,1693,,,,1637,1673,1770,,,
la32,1698,1903,2043,1904,1698,1839,,,,1782,1799,1908,,,
la33,1547,1723,1811,1785,1547,1710,,,,1587,1622,1751,,,
la34,1604,1772,1917,1817,1595,1767,,,,1664,1693,1823,,,
la35,1736,1958,1996,2080,1736,1767,,,,1736,1773,1911,,,
la36,1162,1304,1638,1295,1134,1460,,,,1247,1263,1333,,,
la37,1397,1591,1645,1531,1387,1557,,,,1485,1492,1693,,,
la38,1144,1382,1355,1370,1132,1408,,,,1260,1283,1383,,,
la39,1184,1414,1659,1412,1173,1400,,,,1257,1286,1449,,,
la40,1150,1321,1422,1311,1129,1306,,,,1252,1248,1378,,,
mean,1028.875,1187.475,1260.95,1187.925,1024.65,1165.675,1115.23,1113.28,1116.78,1087.575,1101.475,1212.4,1112.23,1115.05,1171.75
